epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1509.48,3.19404,63.3576,0.80179,1e-05,0.00281,0,0,2.47208,76.5475,0.58646,0.00065625,0.00065625,0.00065625
2,2637.7,3.40605,39.0683,0.81675,0.00019,0.08287,0.0003,6e-05,1.87719,58.9363,0.56661,0.00125743,0.00125743,0.00125743
3,3722.85,3.62376,27.5452,0.83786,0,0,0,0,0.30277,8.93736,0.14027,0.00179261,0.00179261,0.00179261
4,4842.24,3.25835,14.7982,0.83597,4e-05,0.01124,2e-05,0,0.34451,2636.07,0.07151,0.001703,0.001703,0.001703
5,6044.1,3.43007,9.8362,0.87897,0.63267,0.06774,0.11387,0.03074,2.43564,8.73604,0.58729,0.001604,0.001604,0.001604
6,7121,3.07029,7.14293,0.81299,0.58646,0.17527,0.15136,0.03802,2.42259,6.60182,0.58546,0.001505,0.001505,0.001505
7,8280.52,3.10121,4.83082,0.84231,0.54885,0.22042,0.20715,0.04967,2.51182,4.80176,0.59017,0.001406,0.001406,0.001406
8,9363.71,2.97855,4.07433,0.8126,0.58296,0.22612,0.24397,0.07428,1.96607,3.96708,0.56989,0.001307,0.001307,0.001307
9,10425.5,2.61588,3.40253,0.81408,0.67211,0.16433,0.2432,0.06836,2.2933,3.36842,0.57633,0.001208,0.001208,0.001208
10,11388.8,2.85046,3.28119,0.80985,0.55377,0.24579,0.24443,0.0759,2.13566,3.23,0.57175,0.001109,0.001109,0.001109
11,12439.3,2.50854,2.92032,0.76176,0.76134,0.25091,0.31534,0.09558,2.1777,2.5989,0.57634,0.00101,0.00101,0.00101
12,13480.8,2.38761,2.48761,0.75366,0.70735,0.27247,0.32236,0.09302,1.89182,2.44378,0.57565,0.000911,0.000911,0.000911
13,14447.6,2.54088,2.68356,0.79204,0.55751,0.26545,0.28433,0.08762,1.99839,2.36042,0.56313,0.000812,0.000812,0.000812
14,17483.4,2.37942,2.33316,0.74104,0.63121,0.25,0.3289,0.1105,1.9293,1.99031,0.56889,0.000713,0.000713,0.000713
15,18611.9,2.35449,2.08397,0.7832,0.73475,0.28371,0.33646,0.09921,2.03214,2.08503,0.57293,0.000614,0.000614,0.000614
16,29543.6,2.17677,1.96416,0.80236,0.7748,0.2851,0.37629,0.14602,1.62465,1.79206,0.55909,0.000515,0.000515,0.000515
17,31382.3,2.09463,1.87758,0.78219,0.88678,0.33989,0.42689,0.16839,1.56107,1.70476,0.55664,0.000416,0.000416,0.000416
18,32334.9,2.05716,1.79736,0.74487,0.89876,0.35815,0.48511,0.17898,1.64217,1.68631,0.55512,0.000317,0.000317,0.000317
19,33247.5,2.17134,1.95444,0.79873,0.87152,0.31439,0.44619,0.17135,1.54024,1.63191,0.55453,0.000218,0.000218,0.000218
20,34240.7,1.92911,1.56641,0.77171,0.90443,0.31039,0.47364,0.19321,1.4566,1.59314,0.55315,0.000119,0.000119,0.000119
